,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_REBS,BOX_OUT_PLAYER_TEAM_REBS,season_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,stl_old,blk_old,TO,PF,PTS,PLUS_MINUS,seconds,games_played,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,team_blocks,team_steals,blocks_against,steals_against,team_turnovers,team_fouls,turnovers_against,fouls_against,team_pts,team_fg_pct,team_ft_pct,team_fg3_pct,team_ast,team_reb,away_pts,away_fg_pct,away_ft_pct,away_fg3_pct,away_ast,away_reb
0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2.7246376811594204,6.797101449275362,0.3707246376811594,0.9565217391304348,2.681159420289855,0.30176811594202896,0.7101449275362319,0.927536231884058,0.265463768115942,0.30434782608695654,1.1594202898550725,1.463768115942029,2.608695652173913,0.43478260869565216,0.14492753623188406,1.1884057971014492,1.9130434782608696,7.115942028985507,-0.17391304347826086,963.2608695652174,69,31.0,72.0,161.0,5.7317073170731705,6.036585365853658,5.670731707317073,7.987804878048781,13.329268292682928,18.841463414634145,11.28048780487805,18.71951219512195,101.64634146341463,0.44321951219512196,0.7820121951219512,0.3688780487804878,22.804878048780488,46.292682926829265,103.1219512195122,0.44201219512195117,0.7435731707317073,0.33746341463414636,22.536585365853657,45.9390243902439
1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.5128205128205128,7.423076923076923,0.4486025641025641,0.5384615384615384,1.8205128205128205,0.23928205128205127,1.6538461538461537,2.4743589743589745,0.43491025641025644,1.9743589743589745,4.5256410256410255,6.5,1.641025641025641,0.7564102564102564,0.7051282051282052,0.8461538461538461,1.9615384615384615,9.217948717948717,-0.9615384615384616,1433.1666666666667,78,20.0,81.0,220.0,5.085365853658536,8.207317073170731,5.463414634146342,7.560975609756097,13.597560975609756,20.74390243902439,14.536585365853659,18.25609756097561,102.0609756097561,0.45673170731707313,0.7581585365853658,0.3497560975609756,23.573170731707318,43.31707317073171,103.6829268292683,0.4615365853658536,0.7471707317073171,0.35442682926829266,23.158536585365855,44.292682926829265
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1.0192307692307692,2.7884615384615383,0.3113461538461539,0.17307692307692307,0.6153846153846154,0.08975,0.3269230769230769,0.5,0.1201923076923077,0.38461538461538464,1.75,2.1346153846153846,0.5576923076923077,0.3076923076923077,0.21153846153846154,0.6923076923076923,1.4807692307692308,2.5384615384615383,-2.3076923076923075,560.2884615384615,52,25.0,82.0,237.0,4.573170731707317,8.0,5.2073170731707314,7.780487804878049,14.353658536585366,20.682926829268293,14.231707317073171,21.5609756097561,102.41463414634147,0.4649268292682927,0.7951341463414635,0.3355121951219512,23.365853658536587,41.5609756097561,105.95121951219512,0.4715487804878049,0.7601829268292684,0.35610975609756096,22.646341463414632,41.890243902439025
3,0.27,0.04,0.04,0.0,0.07,0.15,0.0,0.0,0.0,0.0,0.0,0.0,2017,6.451219512195122,12.78048780487805,0.5075000000000001,1.0731707317073171,3.1219512195121952,0.3123170731707317,1.2560975609756098,1.5731707317073171,0.4544756097560976,1.8048780487804879,5.463414634146342,7.2682926829268295,3.207317073170732,0.8292682926829268,1.475609756097561,1.3048780487804879,1.9878048780487805,15.231707317073171,2.817073170731707,1925.2560975609756,82,30.0,82.0,245.0,5.926829268292683,9.109756097560975,5.012195121951219,8.609756097560975,14.524390243902438,19.146341463414632,15.451219512195122,18.29268292682927,102.84146341463415,0.4586219512195122,0.7780121951219513,0.3516463414634146,25.609756097560975,42.08536585365854,99.23170731707317,0.43315853658536585,0.7610975609756098,0.34147560975609753,22.048780487804876,46.5
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,5.212765957446808,10.74468085106383,0.44999999999999996,0.0,0.0,0.0,1.5319148936170213,2.3617021276595747,0.46782978723404256,1.2127659574468086,5.191489361702128,6.404255319148936,1.4893617021276595,0.6382978723404256,0.8723404255319149,0.723404255319149,2.4893617021276597,11.957446808510639,0.9787234042553191,1399.7021276595744,47,31.0,82.0,289.0,5.341463414634147,7.2560975609756095,5.463414634146342,6.7439024390243905,11.865853658536585,18.134146341463413,13.048780487804878,20.365853658536587,103.40243902439025,0.4389634146341463,0.7951951219512196,0.36154878048780487,21.682926829268293,43.9390243902439,100.6829268292683,0.4454878048780488,0.7669634146341463,0.34730487804878046,23.182926829268293,44.65853658536585
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.6463414634146343,8.768292682926829,0.41341463414634144,1.5365853658536586,4.2560975609756095,0.34048780487804875,1.4024390243902438,1.9024390243902438,0.49614634146341463,1.1951219512195121,4.890243902439025,6.085365853658536,1.6829268292682926,0.8780487804878049,0.6463414634146342,1.4634146341463414,2.0853658536585367,10.231707317073171,0.7195121951219512,1712.8292682926829,82,25.0,81.0,215.0,4.634146341463414,6.853658536585366,5.170731707317073,7.682926829268292,14.073170731707316,21.73170731707317,12.78048780487805,19.475609756097562,105.14634146341463,0.4509146341463415,0.7517439024390244,0.36885365853658536,21.317073170731707,45.48780487804878,104.3170731707317,0.454390243902439,0.7376463414634147,0.36979268292682926,21.585365853658537,43.69512195121951
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1.6153846153846154,4.538461538461538,0.3533076923076923,0.9230769230769231,2.8461538461538463,0.3131538461538461,0.8461538461538461,1.1538461538461537,0.3974615384615384,0.07692307692307693,2.0,2.076923076923077,1.0769230769230769,0.3076923076923077,0.07692307692307693,0.15384615384615385,1.9230769230769231,5.0,2.3076923076923075,887.0,13,33.0,78.0,220.0,3.9390243902439024,8.634146341463415,4.341463414634147,8.060975609756097,13.878048780487806,20.829268292682926,15.573170731707316,20.134146341463413,104.07317073170732,0.4611829268292683,0.7334999999999999,0.35821951219512194,24.451219512195124,41.84146341463415,104.57317073170732,0.4626585365853659,0.7676219512195122,0.36560975609756097,22.51219512195122,44.28048780487805
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1.0,2.4,0.2806,0.0,0.0,0.0,0.9,1.4,0.32999999999999996,1.4,2.4,3.8,0.5,0.4,0.5,0.6,1.5,2.9,0.1,408.9,10,23.0,80.0,260.0,3.817073170731707,7.7073170731707314,5.475609756097561,9.536585365853659,16.5609756097561,22.658536585365855,14.292682926829269,21.585365853658537,100.86585365853658,0.43535365853658536,0.7465731707317074,0.34436585365853656,20.74390243902439,44.829268292682926,107.52439024390245,0.4685121951219512,0.746780487804878,0.37879268292682927,22.390243902439025,43.69512195121951
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,4.419354838709677,10.774193548387096,0.40251612903225803,1.032258064516129,2.5483870967741935,0.37845161290322576,3.4193548387096775,4.548387096774194,0.7050967741935484,0.5161290322580645,3.0,3.5161290322580645,2.032258064516129,0.5806451612903226,0.12903225806451613,1.6451612903225807,2.2903225806451615,13.290322580645162,-0.41935483870967744,1543.0967741935483,31,24.0,78.0,214.0,5.182926829268292,7.695121951219512,4.695121951219512,7.951219512195122,14.170731707317072,20.182926829268293,13.317073170731707,19.865853658536587,97.6829268292683,0.45019512195121947,0.7450487804878049,0.3560731707317073,18.951219512195124,43.23170731707317,95.89024390243902,0.44608536585365854,0.7479756097560976,0.3580731707317073,19.121951219512194,40.073170731707314
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.3846153846153846,8.0,0.3938717948717949,0.01282051282051282,0.08974358974358974,0.01282051282051282,2.230769230769231,3.0641025641025643,0.4887051282051282,2.282051282051282,5.333333333333333,7.615384615384615,1.2435897435897436,0.48717948717948717,0.7948717948717948,1.858974358974359,2.948717948717949,9.012820512820513,-3.6923076923076925,1400.628205128205,78,23.0,85.0,260.0,3.817073170731707,7.7073170731707314,5.475609756097561,9.536585365853659,16.5609756097561,22.658536585365855,14.292682926829269,21.585365853658537,100.86585365853658,0.43535365853658536,0.7465731707317074,0.34436585365853656,20.74390243902439,44.829268292682926,107.52439024390245,0.4685121951219512,0.746780487804878,0.37879268292682927,22.390243902439025,43.69512195121951
