,season_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,stl_old,blk_old,TO,PF,PTS,PLUS_MINUS,seconds,games_played,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,team_blocks,team_steals,blocks_against,steals_against,team_turnovers,team_fouls,turnovers_against,fouls_against,team_pts,team_fg_pct,team_ft_pct,team_fg3_pct,team_ast,team_reb,away_pts,away_fg_pct,away_ft_pct,away_fg3_pct,away_ast,away_reb
0,2005,3.533333333333333,7.693333333333333,0.40936,1.0,2.2933333333333334,0.3518,1.12,1.48,0.35777333333333333,0.6,2.7733333333333334,3.3733333333333335,2.6,1.1333333333333333,0.30666666666666664,1.3733333333333333,1.8933333333333333,9.186666666666667,-0.56,1693.56,75,31.0,77.0,209.0,4.365853658536586,7.963414634146342,5.646341463414634,8.268292682926829,14.71951219512195,20.74390243902439,14.439024390243903,21.426829268292682,87.98780487804878,0.42968292682926834,0.7519268292682927,0.33517073170731704,20.0,40.84146341463415,90.47560975609755,0.43357317073170726,0.7482073170731708,0.33998780487804875,21.304878048780488,41.390243902439025
1,2005,1.3409090909090908,2.9545454545454546,0.3577727272727273,0.0,0.0,0.0,0.4318181818181818,0.7954545454545454,0.16097727272727272,1.2272727272727273,2.5681818181818183,3.7954545454545454,0.38636363636363635,0.13636363636363635,1.0454545454545454,0.4772727272727273,1.5454545454545454,3.1136363636363638,-1.8863636363636365,783.5454545454545,44,29.0,82.0,265.0,4.7439024390243905,7.024390243902439,5.097560975609756,8.121951219512194,14.073170731707316,20.621951219512194,13.426829268292684,21.963414634146343,93.28048780487805,0.4425487804878049,0.7229512195121952,0.3293780487804878,20.5,43.109756097560975,94.01219512195122,0.446,0.7451463414634146,0.3624512195121951,21.48780487804878,42.84146341463415
2,2005,0.2631578947368421,0.9473684210526315,0.1403157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0,0.21052631578947367,0.0,0.05263157894736842,0.9473684210526315,1.0,0.5263157894736842,0.3684210526315789,0.10526315789473684,0.15789473684210525,0.8947368421052632,0.5789473684210527,-2.473684210526316,385.57894736842104,19,29.0,77.0,230.0,5.402439024390244,6.829268292682927,4.378048780487805,8.658536585365853,15.792682926829269,21.48780487804878,12.78048780487805,20.670731707317074,89.78048780487805,0.44234146341463415,0.7728780487804878,0.3653048780487805,19.25609756097561,42.609756097560975,88.04878048780488,0.4123292682926829,0.7346951219512194,0.36804878048780487,20.597560975609756,39.73170731707317
3,2005,5.329113924050633,11.50632911392405,0.4562278481012658,0.26582278481012656,0.9746835443037974,0.1561139240506329,2.3417721518987342,3.189873417721519,0.6040126582278481,2.0632911392405062,4.367088607594937,6.430379746835443,1.6582278481012658,1.0126582278481013,0.27848101265822783,2.0632911392405062,3.1645569620253164,13.265822784810126,0.8987341772151899,1853.8227848101267,79,24.0,81.0,250.0,5.012195121951219,8.829268292682928,6.2439024390243905,7.097560975609756,13.487804878048781,20.817073170731707,15.146341463414634,21.878048780487806,91.3780487804878,0.43576829268292677,0.758939024390244,0.34710975609756095,21.634146341463413,41.670731707317074,85.6219512195122,0.43297560975609756,0.7502682926829268,0.3233536585365854,20.109756097560975,40.1219512195122
4,2005,1.6666666666666667,3.5,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,0.20833333333333334,1.8333333333333333,1.6666666666666667,3.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,4.0,-4.833333333333333,680.8333333333334,6,31.0,81.0,240.0,4.975609756097561,7.646341463414634,5.073170731707317,8.914634146341463,15.585365853658537,22.26829268292683,13.24390243902439,20.71951219512195,92.8170731707317,0.4337560975609756,0.7719756097560976,0.3200121951219512,20.097560975609756,42.71951219512195,97.46341463414635,0.4410609756097561,0.7612926829268293,0.36229268292682926,21.98780487804878,43.08536585365854
5,2005,0.5,3.5,0.1665,0.0,0.0,0.0,0.5,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.5,1.5,380.5,2,24.0,75.0,195.0,6.548780487804878,8.060975609756097,4.634146341463414,7.7439024390243905,14.085365853658537,20.329268292682926,14.560975609756097,22.341463414634145,91.47560975609755,0.4421585365853658,0.6812439024390244,0.35829268292682925,20.4390243902439,45.09756097560975,84.2560975609756,0.41085365853658534,0.7441951219512195,0.3242439024390244,17.304878048780488,41.073170731707314
6,2005,6.8,15.62,0.4249,1.74,4.04,0.39662,3.14,3.44,0.76512,0.4,2.02,2.42,1.98,0.76,0.04,2.04,2.1,18.48,-0.6,2153.02,50,33.0,78.0,200.0,4.7682926829268295,7.402439024390244,4.670731707317073,8.231707317073171,15.28048780487805,23.134146341463413,13.146341463414634,19.48780487804878,91.97560975609755,0.44315853658536586,0.7931341463414635,0.35835365853658535,20.670731707317074,42.59756097560975,93.45121951219512,0.429390243902439,0.762109756097561,0.3391463414634146,20.4390243902439,41.390243902439025
7,2005,9.0625,23.4375,0.3796458333333333,1.1875,4.145833333333333,0.22797916666666665,7.0625,9.479166666666666,0.7273125,0.7083333333333334,3.0,3.7083333333333335,6.75,2.3958333333333335,0.10416666666666667,4.354166666666667,1.8125,26.375,-1.8958333333333333,2558.6041666666665,48,29.0,72.0,165.0,4.365853658536586,7.963414634146342,5.646341463414634,8.268292682926829,14.71951219512195,20.74390243902439,14.439024390243903,21.426829268292682,87.98780487804878,0.42968292682926834,0.7519268292682927,0.33517073170731704,20.0,40.84146341463415,90.47560975609755,0.43357317073170726,0.7482073170731708,0.33998780487804875,21.304878048780488,41.390243902439025
8,2005,7.472727272727273,15.727272727272727,0.47825454545454543,0.01818181818181818,0.09090909090909091,0.01818181818181818,5.636363636363637,7.909090909090909,0.6811454545454546,2.8545454545454545,6.163636363636364,9.018181818181818,1.4181818181818182,1.1636363636363636,1.6181818181818182,3.2181818181818183,3.418181818181818,20.6,-2.309090909090909,2209.1272727272726,55,21.0,82.0,245.0,4.670731707317073,8.951219512195122,5.2560975609756095,7.914634146341464,14.670731707317072,22.70731707317073,15.024390243902438,19.378048780487806,94.1829268292683,0.4444634146341463,0.7432926829268293,0.3400487804878049,19.341463414634145,40.609756097560975,97.92682926829268,0.4468170731707317,0.7667439024390243,0.34560975609756095,21.463414634146343,43.75609756097561
9,2005,5.2439024390243905,11.475609756097562,0.46085365853658533,0.14634146341463414,0.7926829268292683,0.10160975609756098,4.170731707317073,5.012195121951219,0.7621219512195122,1.548780487804878,2.9146341463414633,4.463414634146342,6.109756097560975,1.7317073170731707,0.3048780487804878,2.6219512195121952,2.3658536585365852,14.804878048780488,1.9878048780487805,2083.4146341463415,82,28.0,74.0,200.0,6.341463414634147,9.060975609756097,5.841463414634147,8.097560975609756,14.634146341463415,21.9390243902439,16.378048780487806,23.109756097560975,97.21951219512195,0.444390243902439,0.7650975609756098,0.3346463414634146,21.878048780487806,42.31707317073171,96.14634146341463,0.45396341463414636,0.7303170731707317,0.34246341463414637,23.548780487804876,42.9390243902439
