,PLAYER_NAME,season_x,STL,BLK
0,Aaron Brooks,2017,0.38461538461538464,0.13846153846153847
1,Aaron Gordon,2017,0.8125,0.5
2,Adreian Payne,2017,0.4444444444444444,0.3888888888888889
3,Al Horford,2017,0.7647058823529411,1.2647058823529411
4,Al Jefferson,2017,0.2878787878787879,0.24242424242424243
5,Al-Farouq Aminu,2017,0.9836065573770492,0.7213114754098361
6,Alan Anderson,2017,0.1,0.0
7,Alan Williams,2017,0.574468085106383,0.6808510638297872
8,Alec Burks,2017,0.42857142857142855,0.11904761904761904
9,Alex Len,2017,0.4935064935064935,1.2727272727272727
10,Alexis Ajinca,2017,0.5128205128205128,0.5641025641025641
11,Allen Crabbe,2017,0.6835443037974683,0.25316455696202533
12,Alonzo Gee,2017,0.38461538461538464,0.07692307692307693
13,Amir Johnson,2017,0.6375,0.775
14,Andre Drummond,2017,1.5308641975308641,1.0987654320987654
15,Andre Iguodala,2017,1.0,0.5131578947368421
16,Andre Roberson,2017,1.1898734177215189,1.0
17,Andrew Wiggins,2017,1.0,0.36585365853658536
18,Anthony Davis,2017,1.2533333333333334,2.2266666666666666
19,Anthony Tolliver,2017,0.5230769230769231,0.3076923076923077
20,Aron Baynes,2017,0.22666666666666666,0.52
21,Arron Afflalo,2017,0.3442622950819672,0.09836065573770492
22,Austin Rivers,2017,0.6486486486486487,0.13513513513513514
23,Avery Bradley,2017,1.2363636363636363,0.2
24,Ben McLemore,2017,0.47540983606557374,0.09836065573770492
25,Bismack Biyombo,2017,0.30864197530864196,1.123456790123457
26,Blake Griffin,2017,0.9344262295081968,0.36065573770491804
27,Boban Marjanovic,2017,0.17142857142857143,0.34285714285714286
28,Bobby Portis,2017,0.25,0.171875
29,Boris Diaw,2017,0.2465753424657534,0.1232876712328767
30,Bradley Beal,2017,1.077922077922078,0.2727272727272727
31,Brandan Wright,2017,0.39285714285714285,0.7142857142857143
32,Brandon Bass,2017,0.2692307692307692,0.21153846153846154
33,Brandon Knight,2017,0.5,0.09259259259259259
34,Brandon Rush,2017,0.46808510638297873,0.48936170212765956
35,Brook Lopez,2017,0.5066666666666667,1.6533333333333333
36,C.J. Watson,2017,0.6935483870967742,0.03225806451612903
37,CJ McCollum,2017,0.9,0.525
38,CJ Miles,2017,0.6052631578947368,0.32894736842105265
39,Carmelo Anthony,2017,0.8108108108108109,0.4594594594594595
40,Chandler Parsons,2017,0.5882352941176471,0.14705882352941177
41,Chris Paul,2017,1.9508196721311475,0.13114754098360656
42,Christian Wood,2017,0.23076923076923078,0.46153846153846156
43,Clint Capela,2017,0.5230769230769231,1.2153846153846153
44,Cody Zeller,2017,1.0,0.9354838709677419
45,Cole Aldrich,2017,0.4032258064516129,0.3709677419354839
46,Cory Joseph,2017,0.825,0.1625
47,Cristiano Felicio,2017,0.3787878787878788,0.25757575757575757
48,D'Angelo Russell,2017,1.380952380952381,0.25396825396825395
49,Dahntay Jones,2017,0.0,0.0
50,Damian Lillard,2017,0.9066666666666666,0.26666666666666666
51,Damjan Rudez,2017,0.26666666666666666,0.022222222222222223
52,Danilo Gallinari,2017,0.6349206349206349,0.23809523809523808
53,Danny Green,2017,1.0294117647058822,0.8382352941176471
54,Dante Cunningham,2017,0.5909090909090909,0.42424242424242425
55,Darrell Arthur,2017,0.4634146341463415,0.5121951219512195
56,Darren Collison,2017,0.9852941176470589,0.1323529411764706
57,Darrun Hilliard,2017,0.28205128205128205,0.05128205128205128
58,David West,2017,0.6176470588235294,0.7058823529411765
59,DeAndre Jordan,2017,0.6296296296296297,1.654320987654321
60,DeMar DeRozan,2017,1.054054054054054,0.17567567567567569
61,DeMarre Carroll,2017,1.125,0.375
62,Delon Wright,2017,1.0,0.4074074074074074
63,Dennis Schroder,2017,0.9367088607594937,0.20253164556962025
64,Derrick Favors,2017,0.9,0.8
65,Derrick Rose,2017,0.6875,0.265625
66,Devin Booker,2017,0.9230769230769231,0.2692307692307692
67,Devin Harris,2017,0.6615384615384615,0.1076923076923077
68,Dewayne Dedmon,2017,0.4868421052631579,0.8026315789473685
69,Dion Waiters,2017,0.9130434782608695,0.43478260869565216
70,Dirk Nowitzki,2017,0.5555555555555556,0.7037037037037037
71,Donatas Motiejunas,2017,0.5294117647058824,0.3235294117647059
72,Draymond Green,2017,2.026315789473684,1.394736842105263
73,Dwight Howard,2017,0.8648648648648649,1.2432432432432432
74,Dwight Powell,2017,0.7922077922077922,0.5064935064935064
75,Dwyane Wade,2017,1.4333333333333333,0.6833333333333333
76,E'Twaun Moore,2017,0.684931506849315,0.4383561643835616
77,Ed Davis,2017,0.32608695652173914,0.4782608695652174
78,Elfrid Payton,2017,1.0731707317073171,0.4878048780487805
79,Elijah Millsap,2017,0.0,0.0
80,Emmanuel Mudiay,2017,0.7454545454545455,0.23636363636363636
81,Eric Bledsoe,2017,1.378787878787879,0.4696969696969697
82,Eric Gordon,2017,0.64,0.5466666666666666
83,Evan Fournier,2017,0.9705882352941176,0.058823529411764705
84,Evan Turner,2017,0.8153846153846154,0.36923076923076925
85,Frank Kaminsky,2017,0.6133333333333333,0.4533333333333333
86,Garrett Temple,2017,1.2923076923076924,0.4307692307692308
87,Gary Harris,2017,1.2456140350877194,0.14035087719298245
88,Gary Neal,2017,0.0,0.0
89,George Hill,2017,1.0204081632653061,0.22448979591836735
90,Gerald Green,2017,0.19148936170212766,0.14893617021276595
91,Gerald Henderson,2017,0.5555555555555556,0.20833333333333334
92,Giannis Antetokounmpo,2017,1.6375,1.8875
